restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
Knowhere,Bar,3.8,52,1300.0,No,No,"Continental, Finger Food",Frazer Town,Banaswadi,Good
Kobe Sizzlers,Casual Dining,4.0,398,1500.0,Yes,No,"American, Continental, Fast Food, Steak",Kalyan Nagar,Nagawara,Very nice
Kofabell,Casual Dining,3.2,4,500.0,No,No,North Indian,Marathahalli,Marathahalli,Average
Koithio Kitchen,Quick Bites,3.3,4,600.0,No,No,"Chinese, Momos",New Bel Road,New Bel Road,Average
Kokomo,Delivery,4.0,193,500.0,Yes,No,"Thai, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Very nice
Kolbeh,Quick Bites,3.7,22,500.0,No,No,Fast Food,Banashankari,Banashankari,Good
Kolkata Biriyani,Delivery,3.9,412,300.0,No,No,"Biryani, Bengali",Marathahalli,Marathahalli,Good
Kolkata Biryani Center,Quick Bites,3.8,40,250.0,Yes,No,Biryani,Whitefield,Whitefield,Good
Kolkata Famous Kathi Rolls,Quick Bites,3.5,14,200.0,Yes,No,"Fast Food, Rolls",Electronic City,Electronic City,Good
Kolkata Famous Kati Roll,Kiosk,3.3,7,100.0,No,No,"Fast Food, Rolls",Sarjapur Road,Bellandur,Average
Kolkata Famous Kati Rolls,Kiosk,3.1,4,200.0,Yes,No,"Fast Food, Rolls",Kalyan Nagar,Banaswadi,Average
Kolkata Famous Katti Rolls,Quick Bites,3.4,8,200.0,Yes,No,"Fast Food, Rolls",Brookefield,Marathahalli,Average
Kolkata Hot Roll,Quick Bites,3.4,4,150.0,Yes,No,Rolls,New Bel Road,New Bel Road,Average
Kolkata Kathi Rolls,Quick Bites,3.8,23,150.0,Yes,No,Rolls,Bannerghatta Road,Jp Nagar,Good
Kolkata Kathi Roll's,Quick Bites,3.6,18,250.0,Yes,No,"Fast Food, Rolls",Banashankari,Banashankari,Good
Kolkata Kati Roll,Quick Bites,3.4,14,150.0,Yes,No,Rolls,New Bel Road,Sahakara Nagar,Average
Kolkata Kati Rolls,Kiosk,2.9,17,200.0,No,No,"Fast Food, Rolls",Jp Nagar,Jayanagar,Poor
Kolkata King,Quick Bites,3.4,6,300.0,Yes,No,"Fast Food, Rolls",Banashankari,Basavanagudi,Average
Kolkata Kitchen,Quick Bites,3.2,231,400.0,Yes,No,"North Indian, Fast Food, Biryani",Electronic City,Electronic City,Average
Kolkata Refreshments,Quick Bites,3.0,14,200.0,No,No,"Bengali, Fast Food",New Bel Road,Sanjay Nagar,Average
Kolkata Restaurant,Quick Bites,3.0,7,300.0,No,No,"Bengali, North Indian, Chinese",Basavanagudi,Jayanagar,Average
Kolkata Roll & Fast Food,Quick Bites,3.6,15,250.0,No,No,Fast Food,Hsr,Hsr,Good
Kolkata Roll House,Quick Bites,3.3,6,200.0,No,No,"Fast Food, Rolls",Brookefield,Marathahalli,Average
Kolkata Rolls & Chowmein,Quick Bites,3.5,35,100.0,Yes,No,Rolls,Kalyan Nagar,Banaswadi,Good
Kolkata Rolls & Fast Food,Quick Bites,3.6,52,200.0,Yes,No,"Rolls, Fast Food",Sarjapur Road,Hsr,Good
Kolkata Rolls & Hot Dum Biriyani On Dial,Quick Bites,3.5,22,200.0,Yes,No,"Fast Food, Rolls",Old Airport Road,Indiranagar,Good
Kolkata Spicy Restaurant,Quick Bites,2.8,11,300.0,Yes,No,Bengali,Marathahalli,Marathahalli,Poor
Kolkatta Famous Chat,Quick Bites,3.7,22,100.0,Yes,No,"Street Food, North Indian",Indiranagar,Indiranagar,Good
Kolkatta Famous Kati Rolls,Quick Bites,3.2,15,200.0,No,No,"Chinese, Rolls",Indiranagar,Old Airport Road,Average
Kollapuri's,Casual Dining,3.6,135,600.0,No,No,Maharashtrian,Jayanagar,Jayanagar,Good
Komala Refreshments,Quick Bites,4.0,102,150.0,No,No,South Indian,Frazer Town,Frazer Town,Very nice
Konark Restaurant,Quick Bites,3.1,91,200.0,Yes,No,"North Indian, South Indian",Marathahalli,Marathahalli,Average
Konark Vegetarian Restaurant,Casual Dining,3.9,155,600.0,No,No,"North Indian, Chinese, Continental, South Indian",Brigade Road,Lavelle Road,Good
Konaseema Grand,Casual Dining,3.2,379,1000.0,Yes,No,"North Indian, Mughlai, Andhra, Biryani",Brookefield,Whitefield,Average
Konaseema Kitchen,Casual Dining,3.8,571,600.0,Yes,Yes,"North Indian, Biryani, Andhra, South Indian",Bellandur,Marathahalli,Good
Konfection Konnection,"Takeaway, Delivery",3.6,13,600.0,No,No,Desserts,Frazer Town,Frazer Town,Good
Kool Joint,"Dessert Parlor, Quick Bites",3.4,8,200.0,Yes,No,"Ice Cream, Juices, Fast Food",Malleshwaram,Basaveshwara Nagar,Average
Kopper Kadai,Casual Dining,4.1,1697,1200.0,No,No,"North Indian, Chinese",Koramangala 7Th Block,Koramangala 5Th Block,Very nice
Kor Cafe,Quick Bites,3.8,36,300.0,Yes,No,Kerala,"Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Good
Koramangala Social,Lounge,4.6,4650,1500.0,Yes,No,"American, North Indian, Chinese, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Very nice
Koshe Kosha,Casual Dining,4.0,571,600.0,Yes,No,"Bengali, Seafood","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Very nice
Koshy's,"Bakery, Quick Bites",3.6,52,300.0,No,No,"Bakery, Fast Food",Brigade Road,Richmond Road,Good
Kota Kachori,Quick Bites,4.3,3605,400.0,Yes,No,"Street Food, Desserts, North Indian, Mithai, Rajasthani","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Very nice
Kotae Garden,Casual Dining,3.1,9,450.0,No,No,"North Indian, Chinese, Andhra",Electronic City,Electronic City,Average
Kotian Karavali Restaurant,Quick Bites,3.5,10,300.0,No,No,"South Indian, Biryani",Banashankari,Banashankari,Good
Koylas,Quick Bites,3.0,9,400.0,Yes,No,"Kebab, Mughlai, Biryani",Brookefield,Brookefield,Average
